거래일순번,거래일자,기아(000270),SK하이닉스(000660),현대차(005380),POSCO홀딩스(005490),삼성전자(005930),삼성SDI(006400),현대모비스(012330),한화에어로스페이스(012450),삼성물산(028260),NAVER(035420),카카오(035720),LG화학(051910),신한지주(055550),셀트리온(068270),에코프로(086520),KB금융(105560),삼성바이오로직스(207940),에코프로비엠(247540),HD현대중공업(329180),LG에너지솔루션(373220)
1,2026-02-09,153800,887000,478000,363500,166400,380000,435000,1193000,312500,250000,57500,310500,93400,219228,159300,151400,1694000,206500,540000,394500
2,2026-02-10,154700,876000,480500,371000,165800,381000,437000,1146000,317000,254000,58300,321000,97900,216845,156000,155500,1710000,202000,534000,390500
3,2026-02-11,161800,860000,509000,372000,167800,377000,446000,1130000,316500,257500,58900,322500,100900,228283,152500,164500,1712000,200000,537000,392000
4,2026-02-12,166300,888000,506000,383000,178600,385500,446000,1131000,334000,255500,58800,336500,106000,227330,155500,168500,1719000,207000,539000,410000
5,2026-02-13,164100,880000,499000,375500,181200,374500,435000,1105000,318000,252500,57400,324500,102500,226853,150400,167900,1710000,196100,543000,395000
6,2026-02-19,170000,894000,513000,389000,190000,408000,440500,1149000,319500,253000,57600,334500,100300,233049,172300,166500,1720000,214000,574000,403500
7,2026-02-20,171800,949000,509000,394000,190100,402000,443000,1242000,331000,254500,57900,337000,102000,230666,171300,168800,1736000,214000,602000,401500
8,2026-02-23,172700,951000,523000,388000,193000,391500,445500,1236000,332000,255500,58100,332500,101800,231619,169300,168700,1717000,209500,607000,396000
9,2026-02-24,174000,1005000,524000,399500,200000,421500,453000,1241000,338000,255000,57900,350500,100900,236861,169900,166700,1723000,213500,596000,412500
10,2026-02-25,196100,1018000,572000,406500,203500,433000,469500,1212000,347000,253000,57400,387500,99500,233049,175200,167700,1728000,216000,594000,426000
11,2026-02-26,206000,1099000,609000,407500,218000,449000,529000,1194000,360000,260500,61400,390000,99900,230666,184200,165300,1766000,219500,592000,427000
12,2026-02-27,205500,1061000,674000,413000,216500,466000,517000,1195000,350500,254500,62300,417500,96900,227330,185000,159000,1778000,221500,603000,427000
13,2026-03-03,182300,939000,595000,374500,195100,408000,468500,1432000,317000,236000,56200,361000,96700,214462,164000,153500,1681000,199500,590000,393000
14,2026-03-04,156700,849000,501000,321500,172200,351000,399000,1323000,272000,208000,47050,307000,88800,188155,133800,137700,1516000,165600,511000,347500
15,2026-03-05,166400,941000,548000,346500,191600,392500,432000,1381000,293000,220000,51200,324500,92900,201594,160800,149000,1647000,195400,559000,371500
16,2026-03-06,167000,924000,553000,353500,188200,410500,444000,1481000,283500,222500,53600,326500,91800,202547,170000,147400,1644000,202500,554000,377500
17,2026-03-09,153400,836000,507000,336000,173500,389000,409000,1434000,270500,218500,50400,300000,88500,194445,163800,142600,1579000,202500,576000,359500
18,2026-03-10,161000,938000,525000,343500,187900,403500,423000,1455000,273000,220500,51800,311000,89200,196352,164500,147400,1592000,203000,583000,367000
19,2026-03-11,162000,955000,530000,345000,190000,400000,423000,1410000,283500,222000,50900,315500,91100,199211,161600,151300,1657000,197500,590000,369500
20,2026-03-12,167000,930000,521000,347500,187900,400000,414500,1465000,280500,222000,50400,306000,91900,196352,158000,149200,1625000,197700,604000,384000
21,2026-03-13,164300,910000,517000,337000,183500,388000,404000,1488000,280500,223000,50600,297500,90800,195875,150500,148900,1592000,191300,596000,369000
22,2026-03-16,162000,974000,506000,333500,188700,383000,401000,1476000,278500,218000,50200,292000,90000,190633,145900,149300,1568000,187400,583000,366000
23,2026-03-17,167300,970000,522000,342500,193900,389000,412500,1396000,279500,224000,51300,307500,91200,196352,149300,150700,1587000,193500,587000,380500
24,2026-03-18,175100,1056000,545000,349500,208500,405000,430000,1390000,299000,226500,51500,320000,95000,199688,154000,154700,1626000,196500,590000,383500
25,2026-03-19,170500,1013000,522000,338000,200500,402500,413000,1375000,291000,220500,50000,303500,96500,192539,151100,155700,1585000,189700,567000,371000
26,2026-03-20,168500,1007000,517000,343500,199400,400500,400500,1320000,297500,221500,50000,310000,97900,192539,150900,155200,1601000,191900,559000,375500
27,2026-03-23,161700,933000,485000,325000,186300,376500,381000,1278000,274500,209000,46900,290000,89900,179481,139600,145300,1523000,179100,502000,356000
28,2026-03-24,157900,986000,492000,339500,189700,397500,392500,1335000,281500,213500,48200,314000,90000,190252,149000,146900,1547000,193000,516000,392500
29,2026-03-25,157900,995000,501000,342000,189000,404000,402000,1400000,289000,215500,49050,318000,92100,193969,151300,149400,1585000,203000,523000,394000
30,2026-03-26,154700,933000,490000,342500,180100,396500,398500,1369000,278000,211500,48650,314000,93400,193492,146000,152200,1585000,198900,511000,384500
31,2026-03-27,155800,922000,495000,343000,179700,405500,408500,1335000,269000,212500,48800,313000,93500,196352,149000,152200,1606000,202500,498500,394500
32,2026-03-30,151500,873000,469500,343000,176300,412500,398000,1308000,259500,207000,47100,322000,90500,192063,146700,145900,1530000,203500,480000,410000
33,2026-03-31,145200,807000,445500,332500,167200,408000,378000,1249000,253500,201500,45800,299000,87700,187964,139500,141900,1504000,192200,465000,394500
34,2026-04-01,155300,893000,488000,346000,189600,432000,409000,1333000,273000,210000,48250,312500,93300,196352,149100,148300,1572000,202000,451500,407000
35,2026-04-02,150600,830000,465500,341000,178400,443000,389500,1417000,264000,195800,45400,302000,91700,187487,142400,146500,1585000,196900,439000,404500
36,2026-04-03,150200,876000,471000,347500,186200,438500,388500,1449000,263000,197500,45200,304500,91800,186153,141500,145500,1554000,192600,479500,398500
37,2026-04-06,151600,886000,469000,349000,193100,453500,388500,1450000,269500,196800,44850,317000,92900,186630,143000,147900,1555000,199900,471000,412500
38,2026-04-07,150800,916000,473000,345500,196500,456500,390000,1537000,274000,195900,46400,323500,91400,184628,144800,146700,1586000,201500,470000,408500
39,2026-04-08,159200,1033000,508000,362500,210500,471500,407000,1484000,309000,201500,47850,344500,96700,192539,153100,156000,1598000,208500,484500,406000
40,2026-04-09,150500,998000,489500,367000,204000,480000,401500,1451000,300000,201500,47300,355000,96600,192063,148900,154200,1580000,206000,470500,421000
41,2026-04-10,149000,1027000,489500,369000,206000,481000,402500,1507000,302500,202000,47700,356000,98700,190347,146400,158300,1571000,201500,475000,412000
42,2026-04-13,147400,1040000,478500,360000,201000,477500,391500,1530000,289500,199000,47000,340000,98300,186058,143700,156600,1550000,199000,463000,401500
43,2026-04-14,149200,1103000,491500,361500,206500,470500,405000,1523000,296000,201500,48100,341500,98300,189775,144200,155900,1536000,197800,479000,400000
44,2026-04-15,151500,1136000,508000,368000,211000,471000,415500,1509000,307500,211000,49600,354000,99800,192539,147900,158200,1602000,202500,474500,408000
45,2026-04-16,157900,1155000,534000,370000,217500,478500,427000,1519000,306000,218500,50600,357500,99900,199211,149200,162300,1616000,205000,493500,416000
